Transecto	Zona	Zona2	Muestra	A530nm	A653nm	A0.24x653nm	A530-0.24x653	Area_petalo	Abs_corrected_area
2	L	L2	1	0.1744	0.0576	0.013824	0.1606	5.46	0.0294
2	L	L2	3	0.0756	0.0348	0.008352	0.0672	4.47	0.015
2	L	L2	4	0.1724	0.0481	0.011544	0.1609	5.43	0.0296
2	L	L2	7	0.0956	0.037	0.00888	0.0867	4.49	0.0193
2	L	L2	8	0.3111	0.0529	0.012696	0.2984	4.14	0.0721
2	L	L2	10	0.2259	0.0392	0.009408	0.2165	5.4	0.0401
2	L	L2	11	0.2179	0.0539	0.012936	0.205	5.72	0.0358
2	L	L2	13	0.0787	0.0338	0.008112	0.0706	5.46	0.0129
2	L	L2	14	0.1752	0.0589	0.014136	0.1611	8.03	0.0201
2	L	L2	15	0.1973	0.0382	0.009168	0.1881	4.03	0.0467
2	L	L2	16	0.3875	0.0372	0.008928	0.3786	6.58	0.0575
2	L	L2	17	0.222	0.0293	0.007032	0.215	7.69	0.028
2	L	L2	18	0.1839	0.0212	0.005088	0.1788	4.99	0.0358
2	L	L2	19	0.1145	0.0216	0.005184	0.1093	5.94	0.0184
2	L	L2	20	0.1598	0.0267	0.006408	0.1534	5.52	0.0278
1	M	M1	21	0.0229	0.0452	0.010848	0.0121	6.69	0.0018
1	M	M1	22	0.0269	0.0594	0.014256	0.0126	6.8	0.0019
1	M	M1	23	0.0202	0.0539	0.012936	0.0073	7.15	0.001
1	M	M1	24	0.0231	0.067	0.01608	0.007	7.63	0.0009
1	M	M1	25	0.029	0.0935	0.02244	0.0066	5.46	0.0012
1	M	M1	26	0.0181	0.0452	0.010848	0.0073	4.3	0.0017
1	M	M1	27	0.0106	0.0325	0.0078	0.0028	5.14	0.0005
1	M	M1	28	0.0128	0.037	0.00888	0.0039	6.24	0.0006
1	M	M1	29	0.0131	0.0339	0.008136	0.005	5.36	0.0009
1	M	M1	30	0.031	0.0788	0.018912	0.0121	5.98	0.002
1	M	M1	31	0.0207	0.0573	0.013752	0.0069	6.75	0.001
1	M	M1	32	0.0158	0.0512	0.012288	0.0035	6.82	0.0005
1	M	M1	33	0.0222	0.0588	0.014112	0.0081	5.67	0.0014
1	M	M1	34	0.0155	0.0424	0.010176	0.0053	4.95	0.0011
1	M	M1	35	0.0198	0.046	0.01104	0.0088	5.97	0.0015
1	M	M1	36	0.0244	0.0519	0.012456	0.0119	5.54	0.0022
1	M	M1	37	0.0232	0.0579	0.013896	0.0093	5.63	0.0017
1	M	M1	38	0.0171	0.0409	0.009816	0.0073	5.72	0.0013
1	M	M1	39	0.0271	0.0816	0.019584	0.0075	6.83	0.0011
1	M	M1	40	0.0208	0.066	0.01584	0.005	6.51	0.0008
1	M	M1	41	0.0172	0.0522	0.012528	0.0047	6	0.0008
1	M	M1	42	0.0343	0.1095	0.02628	0.008	6.26	0.0013
1	M	M1	43	0.0239	0.0791	0.018984	0.0049	5.41	0.0009
1	M	M1	44	0.027	0.0596	0.014304	0.0127	6.47	0.002
1	M	M1	45	0.0242	0.0831	0.019944	0.0043	5.91	0.0007
1	M	M1	46	0.0154	0.0483	0.011592	0.0038	5.05	0.0008
1	M	M1	47	0.0231	0.0635	0.01524	0.0079	6.03	0.0013
1	M	M1	48	0.0233	0.0968	0.023232	0.0001	5.43	0
1	M	M1	49	0.0269	0.0994	0.023856	0.003	5.08	0.0006
1	M	M1	50	0.0398	0.1257	0.030168	0.0096	7.04	0.0014
1	M	M1	51	0.0245	0.0774	0.018576	0.0059	6.79	0.0009
1	M	M1	52	0.0123	0.0408	0.009792	0.0025	5.33	0.0005
1	M	M1	53	0.042	0.0694	0.016656	0.0253	8.1	0.0031
1	M	M1	54	0.102	0.0764	0.018336	0.0837	5.98	0.014
1	M	M1	55	0.0289	0.1179	0.028296	0.0006	5.35	0.0001
1	M	M1	56	0.0186	0.0553	0.013272	0.0053	5.93	0.0009
1	M	M1	57	0.0399	0.0942	0.022608	0.0173	5.81	0.003
1	M	M1	58	0.0295	0.0682	0.016368	0.0131	6.8	0.0019
1	M	M1	59	0.0122	0.0397	0.009528	0.0027	5.43	0.0005
1	M	M1	60	0.0126	0.0339	0.008136	0.0045	6.01	0.0007
1	M	M1	61	0.0137	0.0456	0.010944	0.0028	7.09	0.0004
1	M	M1	62	0.0236	0.0753	0.018072	0.0055	6.51	0.0008
1	M	M1	63	0.0388	0.0902	0.021648	0.0172	6.46	0.0027
1	M	M1	64	0.022	0.0526	0.012624	0.0094	6.67	0.0014
1	M	M1	65	0.0135	0.0405	0.00972	0.0038	6.03	0.0006
1	M	M1	66	0.0172	0.0432	0.010368	0.0068	5.95	0.0011
1	M	M1	67	0.0075	0.0318	0.007632	0	4.78	0
1	M	M1	68	0.0114	0.0375	0.009	0.0024	4.52	0.0005
1	M	M1	70	0.2035	0.055	0.0132	0.1903	6.37	0.0299
1	M	M1	71	0.0196	0.0629	0.015096	0.0045	6.18	0.0007
1	M	M1	72	0.0266	0.0818	0.019632	0.007	6.55	0.0011
1	M	M1	73	0.018	0.0538	0.012912	0.0051	6.2	0.0008
1	M	M1	74	0.0335	0.0992	0.023808	0.0097	5.62	0.0017
1	M	M1	75	0.0827	0.0584	0.014016	0.0687	6.11	0.0112
1	M	M1	76	0.025	0.0821	0.019704	0.0053	6.14	0.0009
1	M	M1	77	0.025	0.0668	0.016032	0.009	6.92	0.0013
1	M	M1	78	0.0209	0.0721	0.017304	0.0036	5.95	0.0006
1	M	M1	79	0.0188	0.0523	0.012552	0.0062	5.96	0.001
1	M	M1	80	0.0238	0.056	0.01344	0.0104	5.66	0.0018
1	M	M1	81	0.0185	0.0315	0.00756	0.0109	5.29	0.0021
1	M	M1	82	0.0202	0.0675	0.0162	0.004	5.6	0.0007
1	M	M1	83	0.0259	0.0836	0.020064	0.0058	6.87	0.0008
1	M	M1	84	0.0218	0.0726	0.017424	0.0044	5.54	0.0008
1	M	M1	85	0.0209	0.052	0.01248	0.0084	5.77	0.0015
1	M	M1	86	0.0208	0.0525	0.0126	0.0082	6.52	0.0013
1	M	M1	87	0.05	0.0796	0.019104	0.0309	6.86	0.0045
1	M	M1	88	0.0145	0.0384	0.009216	0.0053	4.02	0.0013
1	M	M1	89	0.0297	0.0691	0.016584	0.0131	5.1	0.0026
1	M	M1	90	0.0173	0.0473	0.011352	0.0059	5.81	0.001
1	M	M1	91	0.0355	0.0669	0.016056	0.0194	7.15	0.0027
1	M	M1	92	0.0208	0.044	0.01056	0.0102	6.14	0.0017
1	M	M1	93	0.0182	0.0518	0.012432	0.0058	4.82	0.0012
1	M	M1	94	0.0184	0.0474	0.011376	0.007	5.49	0.0013
1	M	M1	95	0.0237	0.0593	0.014232	0.0095	5.85	0.0016
1	M	M1	96	0.0168	0.0403	0.009672	0.0071	6.82	0.001
1	M	M1	97	0.0638	0.0564	0.013536	0.0503	5.64	0.0089
1	M	M1	98	0.0247	0.0508	0.012192	0.0125	4.88	0.0026
1	M	M1	99	0.0203	0.0362	0.008688	0.0116	5.66	0.0021
1	H	H1	101	0.1156	0.0485	0.01164	0.104	6.64	0.0157
1	H	H1	106	0.1417	0.0955	0.02292	0.1188	5.73	0.0207
1	H	H1	105	0.0386	0.0548	0.013152	0.0254	6.53	0.0039
1	H	H1	112	0.026	0.0682	0.016368	0.0096	6.63	0.0015
1	H	H1	115	0.1657	0.0376	0.009024	0.1567	6.54	0.024
1	H	H1	116	0.1695	0.0914	0.021936	0.1476	6.55	0.0225
1	H	H1	117	0.039	0.1444	0.034656	0.0043	6.66	0.0007
1	H	H1	118	0.0939	0.0993	0.023832	0.0701	6.8	0.0103
1	H	H1	119	0.0197	0.0655	0.01572	0.004	5.9	0.0007
1	H	H1	120	0.0189	0.0439	0.010536	0.0084	6.18	0.0014
1	H	H1	121	0.0261	0.0926	0.022224	0.0039	NA	NA
1	H	H1	122	0.0162	0.0564	0.013536	0.0027	5.1	0.0005
1	H	H1	123	0.0211	0.0614	0.014736	0.0064	6.2	0.001
