Transecto	Zona	Zona2	Muestra	A450nm	A653nm	A0.24x653nm	A450-0.24x653	Area_petalo	Abs_corrected_area
2	L	L2	1	0.0619	0.0283	0.006792	0.0336	5.46	0.006153846
2	L	L2	3	0.0402	0.0192	0.004608	0.021	4.47	0.004697987
2	L	L2	4	0.0552	0.0227	0.005448	0.0325	5.43	0.005985267
2	L	L2	7	0.0498	0.026	0.00624	0.0238	4.49	0.005300668
2	L	L2	8	0.0797	0.0423	0.010152	0.0374	4.14	0.009033816
2	L	L2	10	0.0741	0.0415	0.00996	0.0326	5.4	0.006037037
2	L	L2	11	0.0915	0.047	0.01128	0.0445	5.72	0.00777972
2	L	L2	13	0.0381	0.0139	0.003336	0.0242	5.46	0.004432234
2	L	L2	14	0.0869	0.0353	0.008472	0.0516	8.03	0.006425903
2	L	L2	15	0.0318	0.008	0.00192	0.0238	4.03	0.005905707
2	L	L2	16	0.0685	0.033	0.00792	0.0355	6.58	0.005395137
2	L	L2	17	0.0811	0.0396	0.009504	0.0415	7.69	0.005396619
2	L	L2	18	0.094	0.0767	0.018408	0.0173	4.99	0.003466934
2	L	L2	19	0.1133	0.0702	0.016848	0.0431	5.94	0.007255892
2	L	L2	20	0.1467	0.0919	0.022056	0.0548	5.52	0.009927536
1	M	M1	21	0.1284	0.0698	0.016752	0.0586	6.69	0.008759342
1	M	M1	22	0.1107	0.0039	0.000936	0.1068	6.8	0.015705882
1	M	M1	23	0.156	0.0019	0.000456	0.1541	7.15	0.021552448
1	M	M1	24	0.2844	0.015	0.0036	0.2694	7.63	0.035307995
1	M	M1	25	0.1391	0.0361	0.008664	0.103	5.46	0.018864469
1	M	M1	26	0.3867	0.0025	0.0006	0.3842	4.3	0.089348837
1	M	M1	27	0.1562	0.001	0.00024	0.1552	5.14	0.030194553
1	M	M1	28	0.2431	0.0026	0.000624	0.2405	6.24	0.038541667
1	M	M1	29	0.3778	0.0048	0.001152	0.373	5.36	0.069589552
1	M	M1	30	0.0525	0.0024	0.000576	0.0501	5.98	0.008377926
1	M	M1	31	0.5038	0.0091	0.002184	0.4947	6.75	0.073288889
1	M	M1	32	0.4415	0.0586	0.014064	0.3829	6.82	0.056143695
1	M	M1	33	0.5185	0.0618	0.014832	0.4567	5.67	0.080546737
1	M	M1	34	0.3937	0.0006	0.000144	0.3931	4.95	0.079414141
1	M	M1	35	0.2056	0.0042	0.001008	0.2014	5.97	0.033735343
1	M	M1	36	0.3461	0.0062	0.001488	0.3399	5.54	0.061353791
1	M	M1	37	0.1807	0.0068	0.001632	0.1739	5.63	0.030888099
1	M	M1	38	0.4954	0.0058	0.001392	0.4896	5.72	0.085594406
1	M	M1	39	0.0542	0.0015	0.00036	0.0527	6.83	0.007715959
1	M	M1	40	0.4657	0.0095	0.00228	0.4562	6.51	0.070076805
1	M	M1	41	0.8772	0.014	0.00336	0.8632	6	0.143866667
1	M	M1	42	0.4047	0.0297	0.007128	0.375	6.26	0.059904153
1	M	M1	43	0.5644	0.042	0.01008	0.5224	5.41	0.096561922
1	M	M1	44	0.331	0.0835	0.02004	0.2475	6.47	0.038253478
1	M	M1	45	0.3651	0.1162	0.027888	0.2489	5.91	0.042115059
1	M	M1	46	0.4043	0.0772	0.018528	0.3271	5.05	0.064772277
1	M	M1	47	0.1349	0.0112	0.002688	0.1237	6.03	0.020514096
1	M	M1	48	0.2685	0.1115	0.02676	0.157	5.43	0.028913444
1	M	M1	49	0.3163	0.1003	0.024072	0.216	5.08	0.042519685
1	M	M1	50	0.1175	0.0113	0.002712	0.1062	7.04	0.015085227
1	M	M1	51	0.7976	0.086	0.02064	0.7116	6.79	0.104801178
1	M	M1	52	0.4725	0.0508	0.012192	0.4217	5.33	0.079118199
1	M	M1	53	0.1608	0.1243	0.029832	0.0365	8.1	0.004506173
1	M	M1	54	0.3181	0.1667	0.040008	0.1514	5.98	0.025317726
1	M	M1	55	0.3581	0.1502	0.036048	0.2079	5.35	0.038859813
1	M	M1	56	0.1932	0.1526	0.036624	0.0406	5.93	0.006846543
