names	achrom_contrast_bees	transect	zone	zone2
T1_101	0.260887526	1	hybrid	hybrid1
T1_102	0.345881742	1	hybrid	hybrid1
T1_103	0.333667489	1	hybrid	hybrid1
T1_104	0.358082637	1	hybrid	hybrid1
T1_105	0.339033969	1	hybrid	hybrid1
T1_106	0.231500287	1	hybrid	hybrid1
T1_107	0.366210974	1	hybrid	hybrid1
T1_108	0.148171383	1	hybrid	hybrid1
T1_109	0.336722805	1	hybrid	hybrid1
T1_110	0.345525434	1	hybrid	hybrid1
T1_111	0.362358224	1	hybrid	hybrid1
T1_112	0.359242275	1	hybrid	hybrid1
T1_113	0.291994487	1	hybrid	hybrid1
T1_114	0.366806466	1	hybrid	hybrid1
T1_115	0.285671102	1	hybrid	hybrid1
T1_116	0.269544975	1	hybrid	hybrid1
T1_117	0.355565545	1	hybrid	hybrid1
T1_118	0.313990666	1	hybrid	hybrid1
T1_119	0.369773174	1	hybrid	hybrid1
T1_120	0.33514513	1	hybrid	hybrid1
T1_121	0.361946773	1	hybrid	hybrid1
T1_122	0.35531936	1	hybrid	hybrid1
T1_123	0.356256341	1	hybrid	hybrid1
T1_124	0.299964614	1	hybrid	hybrid1
T1_125	0.233954354	1	hybrid	hybrid1
T1_127	0.235099939	1	hybrid	hybrid1
T1_128	0.356456333	1	hybrid	hybrid1
T1_129	0.293238011	1	hybrid	hybrid1
T1_130	0.186287213	1	hybrid	hybrid1
T1_131	0.291530418	1	hybrid	hybrid1
T1_132	0.363486452	1	hybrid	hybrid1
T1_133	0.353873946	1	hybrid	hybrid1
T1_134	0.079145469	1	hybrid	hybrid1
T1_135	0.146496099	1	hybrid	hybrid1
T1_136	0.300072209	1	hybrid	hybrid1
T1_137	0.184582063	1	hybrid	hybrid1
T1_138	0.102123748	1	hybrid	hybrid1
T1_139	0.311295618	1	hybrid	hybrid1
T1_140	0.198679007	1	hybrid	hybrid1
T1_141	0.369653288	1	hybrid	hybrid1
T1_142	0.183050227	1	hybrid	hybrid1
T1_143	0.271272828	1	hybrid	hybrid1
T1_144	0.222375705	1	hybrid	hybrid1
T1_145	0.244919647	1	hybrid	hybrid1
T1_146	0.174044907	1	hybrid	hybrid1
T1_147	0.368607295	1	hybrid	hybrid1
T1_148	0.23267131	1	hybrid	hybrid1
T1_149	0.289984424	1	hybrid	hybrid1
T1_150	0.248357898	1	hybrid	hybrid1
T1_152	0.293812816	1	hybrid	hybrid1
T1_153	0.346199871	1	hybrid	hybrid1
T1_154	0.207462852	1	hybrid	hybrid1
T1_155	0.270766931	1	hybrid	hybrid1
T1_156	0.384102088	1	hybrid	hybrid1
T1_157	0.247352177	1	hybrid	hybrid1
T1_158	0.275527353	1	hybrid	hybrid1
T1_160	0.251949394	1	hybrid	hybrid1
T1_161	0.275060804	1	hybrid	hybrid1
T1_162	0.217347026	1	hybrid	hybrid1
T1_163	0.357995356	1	hybrid	hybrid1
T1_164	0.268816784	1	hybrid	hybrid1
T1_165	0.229486111	1	hybrid	hybrid1
T1_166	0.202561148	1	hybrid	hybrid1
T1_167	0.222994274	1	hybrid	hybrid1
T1_168	0.249209585	1	hybrid	hybrid1
T1_169	0.303911338	1	hybrid	hybrid1
T1_170	0.236438533	1	hybrid	hybrid1
T1_171	0.211280607	1	hybrid	hybrid1
T1_172	0.270512735	1	hybrid	hybrid1
T1_173	0.170326117	1	hybrid	hybrid1
T1_174	0.255176083	1	hybrid	hybrid1
T1_175	0.194048418	1	hybrid	hybrid1
T1_176	0.311401096	1	hybrid	hybrid1
T1_177	0.179154689	1	hybrid	hybrid1
T1_178	0.21504669	1	hybrid	hybrid1
T1_321	0.326015914	2	hybrid	hybrid2
T1_323	0.150189048	2	hybrid	hybrid2
T1_324	0.30985853	2	hybrid	hybrid2
T1_325	0.318598636	2	hybrid	hybrid2
T1_326	0.357816048	2	hybrid	hybrid2
T1_327	0.321440419	2	hybrid	hybrid2
T1_328	0.026617407	2	hybrid	hybrid2
T1_329	0.319950822	2	hybrid	hybrid2
