names	chrom_contrast_bees	chrom_contrast_butterflies	chrom_contrast_flies	chrom_contrast_beetles	transect	zone	zone2
T1_101	0.52564319	0.355647476	0.479563394	0.285630582	1	hybrid	hybrid1
T1_102	0.466294555	0.278938114	0.413556164	0.162015502	1	hybrid	hybrid1
T1_103	0.541835575	0.328587629	0.486812974	0.198105347	1	hybrid	hybrid1
T1_104	0.481818913	0.267475591	0.404343974	0.156420086	1	hybrid	hybrid1
T1_105	0.513858013	0.33441714	0.488476184	0.210213074	1	hybrid	hybrid1
T1_106	0.440274727	0.335453761	0.401154875	0.312636971	1	hybrid	hybrid1
T1_107	0.22015345	0.155406707	0.345768911	0.104983331	1	hybrid	hybrid1
T1_108	0.351938089	0.288120672	0.301275802	0.348123111	1	hybrid	hybrid1
T1_109	0.597828304	0.354325719	0.533179244	0.219516774	1	hybrid	hybrid1
T1_110	0.528006262	0.324350894	0.480485214	0.195515463	1	hybrid	hybrid1
T1_111	0.427354424	0.236357374	0.375596622	0.131493009	1	hybrid	hybrid1
T1_112	0.436319337	0.255540148	0.385206229	0.152000948	1	hybrid	hybrid1
T1_113	0.23995276	0.189006661	0.382955592	0.153722964	1	hybrid	hybrid1
T1_114	0.316447729	0.201879506	0.342402271	0.119124367	1	hybrid	hybrid1
T1_115	0.198092822	0.16960806	0.353881776	0.156422567	1	hybrid	hybrid1
T1_116	0.295474696	0.192620249	0.334902245	0.195913905	1	hybrid	hybrid1
T1_117	0.472877415	0.253595046	0.392594828	0.144580491	1	hybrid	hybrid1
T1_118	0.304986713	0.184860912	0.315509016	0.178725325	1	hybrid	hybrid1
T1_119	0.477624843	0.263777382	0.403869238	0.153423713	1	hybrid	hybrid1
T1_120	0.532410898	0.328560275	0.486852312	0.199537843	1	hybrid	hybrid1
T1_121	0.342903217	0.208410135	0.353648483	0.114758003	1	hybrid	hybrid1
T1_122	0.31589005	0.199519994	0.351723379	0.100702677	1	hybrid	hybrid1
T1_123	0.326978089	0.199207875	0.340194514	0.120705675	1	hybrid	hybrid1
T1_124	0.219120922	0.155609881	0.367765153	0.138537269	1	hybrid	hybrid1
T1_125	0.28748537	0.193775581	0.399552853	0.196290682	1	hybrid	hybrid1
T1_127	0.284549962	0.197211357	0.364159286	0.200994586	1	hybrid	hybrid1
T1_128	0.502924518	0.276246059	0.416491156	0.158437498	1	hybrid	hybrid1
T1_129	0.362142339	0.210795521	0.331841235	0.197983963	1	hybrid	hybrid1
T1_130	0.343322115	0.263892197	0.296055097	0.311087141	1	hybrid	hybrid1
T1_131	0.254052726	0.180205635	0.374300421	0.139021183	1	hybrid	hybrid1
T1_132	0.251790481	0.172806402	0.351817178	0.102894871	1	hybrid	hybrid1
T1_133	0.188757204	0.144222153	0.342266966	0.090582212	1	hybrid	hybrid1
