wl	u	s	m	l
300	0.051	0.038	0.052	0
305	0.0916	0.048	0.098	0
310	0.1266	0.064	0.118	0
315	0.1788	0.078	0.148	0
320	0.2402	0.102	0.174	0
325	0.3182	0.13	0.22	0
330	0.3978	0.166	0.26	0
335	0.4856	0.204	0.32	0
340	0.5842	0.238	0.37	0
345	0.6872	0.286	0.428	0
350	0.782	0.314	0.478	0
355	0.8586	0.346	0.518	0
360	0.9188	0.374	0.542	0
365	0.9426	0.386	0.55	0
370	0.9432	0.39	0.548	0
375	0.9254	0.39	0.528	0
380	0.8718	0.378	0.5	0
385	0.794	0.366	0.46	0
390	0.704	0.346	0.416	0
395	0.6104	0.336	0.37	0
400	0.5226	0.33	0.33	0
405	0.4182	0.33	0.298	0
410	0.3358	0.342	0.276	0
415	0.259	0.364	0.262	0
420	0.1944	0.402	0.26	0
425	0.1384	0.458	0.266	0
430	0.1008	0.526	0.28	0
435	0.073	0.596	0.298	0.0002
440	0.0484	0.69	0.334	0.01
445	0.026	0.788	0.374	0.025
450	0.014	0.868	0.42	0.0382
455	0.0062	0.92	0.466	0.05
460	0.0016	0.948	0.514	0.052
465	0.0002	0.948	0.564	0.06
470	0	0.906	0.626	0.07
475	0	0.834	0.68	0.084
480	0	0.742	0.736	0.102
485	0	0.644	0.79	0.132
490	0	0.54	0.838	0.17
495	0	0.446	0.878	0.21
500	0	0.368	0.924	0.258
505	0	0.298	0.956	0.302
510	0	0.24	0.98	0.348
515	0	0.198	0.994	0.384
520	0	0.16	1	0.406
525	0	0.126	0.99	0.42
530	0	0.098	0.986	0.42
535	0	0.08	0.968	0.418
540	0	0.066	0.938	0.42
545	0	0.054	0.906	0.43
550	0	0.044	0.87	0.454
555	0	0.038	0.82	0.49
560	0	0.03	0.78	0.552
565	0	0.0294	0.724	0.616
570	0	0.025	0.666	0.68
575	0	0.02	0.606	0.752
580	0	0.0156	0.55	0.826
585	0	0.011	0.5	0.902
590	0	0.006	0.448	0.958
595	0	0.0012	0.4	0.984
600	0	0	0.35	0.99
605	0	0	0.31	0.988
610	0	0	0.274	0.972
615	0	0	0.24	0.932
620	0	0	0.208	0.88
625	0	0	0.182	0.812
630	0	0	0.16	0.734
635	0	0	0.142	0.646
640	0	0	0.122	0.56
645	0	0	0.108	0.484
650	0	0	0.096	0.406
655	0	0	0.084	0.334
660	0	0	0.076	0.276
665	0	0	0.07	0.222
670	0	0	0.066	0.186
675	0	0	0.06	0.15
680	0	0	0.06	0.122
685	0	0	0.056	0.1
690	0	0	0.05	0.084
695	0	0	0.05	0.074
700	0	0	0.05	0.07
