wl	s	m	l
300	0.144	0.063	0.224
301	0.154	0.065	0.229
302	0.164	0.066	0.234
303	0.172	0.068	0.244
304	0.179	0.07	0.251
305	0.187	0.072	0.257
306	0.201	0.073	0.262
307	0.21	0.075	0.266
308	0.218	0.077	0.269
309	0.23	0.079	0.271
310	0.242	0.082	0.271
311	0.252	0.084	0.271
312	0.274	0.087	0.272
313	0.297	0.089	0.271
314	0.316	0.092	0.269
315	0.324	0.094	0.268
316	0.333	0.095	0.266
317	0.341	0.097	0.261
318	0.371	0.099	0.257
319	0.395	0.101	0.251
320	0.411	0.104	0.245
321	0.429	0.107	0.236
322	0.448	0.11	0.225
323	0.465	0.113	0.217
324	0.479	0.115	0.21
325	0.493	0.117	0.2
326	0.509	0.119	0.19
327	0.526	0.121	0.18
328	0.542	0.123	0.173
329	0.564	0.125	0.165
330	0.586	0.126	0.159
331	0.603	0.128	0.153
332	0.62	0.13	0.144
333	0.651	0.133	0.133
334	0.679	0.135	0.127
335	0.696	0.137	0.121
336	0.713	0.139	0.115
337	0.73	0.141	0.11
338	0.748	0.143	0.105
339	0.767	0.145	0.1
340	0.791	0.147	0.094
341	0.805	0.15	0.088
342	0.814	0.152	0.082
343	0.829	0.155	0.079
344	0.85	0.157	0.076
345	0.867	0.159	0.073
346	0.885	0.161	0.07
347	0.902	0.162	0.068
348	0.913	0.164	0.066
349	0.92	0.165	0.065
350	0.928	0.167	0.063
351	0.939	0.168	0.061
352	0.959	0.169	0.06
353	0.966	0.17	0.058
354	0.972	0.172	0.058
355	0.978	0.173	0.057
356	0.984	0.174	0.057
357	0.99	0.174	0.057
358	0.994	0.174	0.056
359	0.995	0.174	0.056
360	0.996	0.175	0.056
361	0.995	0.175	0.055
362	0.993	0.175	0.055
363	0.991	0.175	0.056
364	0.987	0.176	0.057
365	0.983	0.176	0.058
366	0.979	0.176	0.059
367	0.973	0.177	0.06
368	0.964	0.177	0.06
369	0.959	0.177	0.061
370	0.953	0.176	0.061
371	0.943	0.175	0.061
372	0.926	0.174	0.062
373	0.91	0.174	0.062
374	0.899	0.173	0.062
375	0.891	0.172	0.063
376	0.876	0.172	0.063
377	0.859	0.172	0.064
378	0.847	0.171	0.064
379	0.835	0.171	0.065
380	0.823	0.171	0.065
381	0.809	0.171	0.066
382	0.796	0.17	0.067
383	0.773	0.17	0.067
384	0.752	0.169	0.068
385	0.737	0.168	0.068
386	0.721	0.168	0.069
387	0.705	0.167	0.069
388	0.688	0.167	0.07
389	0.67	0.167	0.07
390	0.635	0.166	0.071
391	0.611	0.166	0.071
392	0.598	0.166	0.072
393	0.584	0.165	0.072
394	0.567	0.165	0.072
395	0.549	0.165	0.073
396	0.531	0.165	0.073
397	0.506	0.164	0.073
398	0.489	0.164	0.073
399	0.476	0.164	0.073
400	0.463	0.164	0.073
401	0.443	0.164	0.074
402	0.425	0.164	0.074
403	0.409	0.164	0.074
404	0.392	0.165	0.075
405	0.375	0.165	0.075
406	0.357	0.166	0.075
407	0.342	0.167	0.076
408	0.327	0.167	0.076
409	0.312	0.168	0.077
410	0.298	0.169	0.077
411	0.287	0.17	0.078
412	0.276	0.171	0.078
413	0.264	0.173	0.079
414	0.252	0.174	0.079
415	0.235	0.176	0.08
416	0.225	0.178	0.08
417	0.215	0.18	0.081
418	0.206	0.182	0.081
419	0.196	0.183	0.081
420	0.189	0.185	0.081
421	0.182	0.187	0.081
422	0.175	0.19	0.081
423	0.167	0.192	0.081
424	0.158	0.195	0.081
425	0.149	0.198	0.081
426	0.141	0.202	0.081
427	0.133	0.207	0.081
428	0.129	0.211	0.082
429	0.125	0.216	0.082
430	0.121	0.22	0.082
431	0.117	0.224	0.082
432	0.114	0.228	0.083
433	0.112	0.234	0.083
434	0.109	0.241	0.083
435	0.107	0.247	0.083
436	0.104	0.253	0.083
437	0.102	0.259	0.083
438	0.1	0.264	0.083
439	0.099	0.27	0.083
440	0.099	0.277	0.083
441	0.099	0.285	0.083
442	0.098	0.293	0.083
443	0.098	0.301	0.083
444	0.099	0.309	0.083
445	0.101	0.32	0.083
446	0.102	0.333	0.083
447	0.104	0.344	0.083
448	0.105	0.352	0.083
449	0.107	0.359	0.083
450	0.109	0.367	0.083
451	0.11	0.374	0.083
452	0.112	0.382	0.083
453	0.114	0.389	0.083
454	0.117	0.4	0.083
455	0.12	0.414	0.083
456	0.123	0.427	0.083
457	0.126	0.439	0.083
458	0.128	0.452	0.083
459	0.13	0.464	0.083
460	0.132	0.474	0.083
461	0.134	0.484	0.083
462	0.135	0.498	0.082
463	0.138	0.511	0.082
464	0.14	0.524	0.082
465	0.143	0.535	0.081
466	0.145	0.545	0.081
467	0.148	0.555	0.081
468	0.151	0.568	0.08
469	0.154	0.583	0.08
470	0.158	0.599	0.08
471	0.161	0.612	0.08
472	0.164	0.622	0.079
473	0.168	0.632	0.079
474	0.171	0.643	0.079
475	0.174	0.655	0.079
476	0.178	0.666	0.079
477	0.183	0.678	0.079
478	0.187	0.69	0.079
479	0.191	0.702	0.079
480	0.194	0.715	0.079
481	0.197	0.728	0.079
482	0.2	0.745	0.079
483	0.203	0.756	0.079
484	0.206	0.765	0.079
485	0.208	0.775	0.079
486	0.212	0.784	0.079
487	0.215	0.798	0.079
488	0.218	0.815	0.079
489	0.221	0.827	0.078
490	0.224	0.838	0.078
491	0.227	0.848	0.078
492	0.229	0.857	0.078
493	0.231	0.866	0.077
494	0.232	0.875	0.077
495	0.234	0.886	0.077
496	0.236	0.899	0.077
497	0.238	0.907	0.077
498	0.24	0.914	0.077
499	0.241	0.922	0.077
500	0.242	0.929	0.077
501	0.244	0.935	0.078
502	0.245	0.941	0.078
503	0.246	0.947	0.078
504	0.247	0.954	0.079
505	0.248	0.962	0.079
506	0.25	0.968	0.079
507	0.251	0.972	0.08
508	0.252	0.977	0.08
509	0.252	0.981	0.08
510	0.253	0.984	0.08
511	0.254	0.986	0.081
512	0.255	0.988	0.081
513	0.255	0.99	0.082
514	0.256	0.991	0.082
515	0.257	0.992	0.083
516	0.257	0.993	0.084
